Ail,Légume
Aloumi,Produits laitiers
Amandes,Vrac
Américain préparé,Viande
Aubergines,Légume
Bacon,Viande
Baguettes,Pain
Bananes,Fruit
Basilic,Condiments
Beurre,Produits laitiers
Blanc de poulet,Viande
Bouillon de légumes,Condiments
Burger végétarien,Viande
Cacao,Vrac
Café,Vrac
Camembert,Produits laitiers
Canelle,Condiments
Carottes,Légume
Cassonade,Vrac
Céréales (choco boule),Vrac
Céréales (corn flakes),Vrac
Champignons,Légume
Chapelure,Vrac
Chocolat à tartiner,Vrac
Chocolat noir,Vrac
Chou blanc,Légume
Citron,Fruit
Concombre,Légume
Confiture,Vrac
Coriandre,Condiments
Courgette,Légume
Cramique,Pain
Craquelin,Pain
Crème fraiche,Produits laitiers
Croissant,Pain
Crunchy,Vrac
Crunchy choco-banane,Vrac
Cuisse de poulet,Viande
Cumin,Condiments
Curry,Condiments
Epinards,Légume
Farine,Vrac
Feta,Produits laitiers
Fish Stick,Poisson
Flocons d'avoine,Vrac
Frites commandées,Autre
Fromage (chèvre frais),Produits laitiers
Fromage (pâte dure),Produits laitiers
Fromage (râpé),Produits laitiers
Fromage (tranche),Produits laitiers
Gingembre,Légume
Glace,Produits laitiers
Haricots rouge,Vrac
Haricots vert,Légume
Herbes de provence,Condiments
Huile d'olive,Condiments
Huile friture,Condiments
Hummus,Autre
Jambon,Viande
Jambon (tranche épaisse),Viande
Jeunes oignons,Légume
Jus de pomme,Vrac
Ketchup,Condiments
Lait,Produits laitiers
Lait de coco,Condiments
Lait végétal,Produits laitiers
Lardons,Viande
Laurier,Condiments
Lentilles vertes,Vrac
Levure boulangère,Condiments
Levure chimique,Condiments
Macaroni,Vrac
Maïs,Condiments
Mascarpone,Produits laitiers
Mayonnaise,Condiments
Melons,Fruit
Mergez,Viande
Mozzarella,Produits laitiers
Muesli,Vrac
Nectarines,Fruit
Noix de muscade,Condiments
Œufs,Œufs
Oignons,Légume
Oignons rouge,Légume
Olive,Autre
Origan,Condiments
Pain,Pain
Pain au choclat,Pain
Pain burger,Pain
Pain pitta,Pain
Paprika,Condiments
Passata,Vrac
Pastèques,Fruit
Pâte à pizza,Autre
Pâtes à lasagne,Vrac
Pâtes grec,Vrac
Pêche,Fruit
Pêches,Fruit
Persil,Condiments
Pesto,Condiments
Piment,Condiments
Pizza commandées,Autre
Poireaux,Légume
Poires,Fruit
Pois chiches,Vrac
Poivre,Condiments
Poivrons,Légume
Pomme de terre,Légume
Pommes,Fruit
Poulet,Viande
Protéine de soja,Vrac
Quinoa,Vrac
Raisins,Fruit
Rice criespies chocolat,Vrac
Riz,Vrac
Salade,Légume
Salade de poulet curry,Viande
Salade de viande,Viande
Sauce soja,Condiments
Saucisses,Viande
Sel,Condiments
Semoule,Vrac
Spaghetti,Vrac
Spéculoos,Autre
Spirelli,Vrac
Steak haché,Viande
Sucre,Vrac
Sucre vanillé,Vrac
Tahini,Condiments
Thon,Poisson
Thym,Condiments
Tofu,Autre
Tomate,Légume
Tomates pelées,Vrac
Viande à pitta,Viande
Viande BBQ,Viande
Viande hachée,Viande
Vinaigre de vin blanc,Condiments
Wraps,Vrac
Yaourt,Produits laitiers